Code,Name,Category,Price,Stock,Unit,Description
P0038,Acondicionador 178g,Cuidado personal,19207.29,130,paquete,"Acondicionador 178g de alta calidad, categoría cuidado personal."
P0039,Pepino 371g,Verduras,2624.85,268,unidad,"Pepino 371g de alta calidad, categoría verduras."
P0040,Paletas de frutas 289g,Congelado,19526.74,40,unidad,"Paletas de frutas 289g de alta calidad, categoría congelado."
P0041,Chorizo 258g,Carnes,8076.95,135,paquete,"Chorizo 258g de alta calidad, categoría carnes."
P0042,Tomate 483g,Verduras,17973.55,110,paquete,"Tomate 483g de alta calidad, categoría verduras."
P0043,Chorizo 212g,Carnes,10627.12,175,unidad,"Chorizo 212g de alta calidad, categoría carnes."
P0044,Galletas de avena 181g,Panadería,14993.71,147,unidad,"Galletas de avena 181g de alta calidad, categoría panadería."
P0045,Pan baguette 307g,Panadería,9762.1,199,unidad,"Pan baguette 307g de alta calidad, categoría panadería."
P0046,Helado de vainilla 64g,Congelado,14778.57,198,paquete,"Helado de vainilla 64g de alta calidad, categoría congelado."
P0047,Jabón en barra 270g,Limpieza,10588.28,10,unidad,"Jabón en barra 270g de alta calidad, categoría limpieza."
P0048,Detergente líquido 193g,Limpieza,19502.37,284,kg,"Detergente líquido 193g de alta calidad, categoría limpieza."
P0049,Apio 51g,Verduras,17562.53,69,unidad,"Apio 51g de alta calidad, categoría verduras."
P0050,Papaya 482g,Frutas,4435.55,122,litro,"Papaya 482g de alta calidad, categoría frutas."
P0051,Banano 455g,Frutas,3839.48,44,kg,"Banano 455g de alta calidad, categoría frutas."
P0052,Helado de chocolate 236g,Congelado,19934.35,104,litro,"Helado de chocolate 236g de alta calidad, categoría congelado."
P0053,Piña 155g,Frutas,14826.11,146,paquete,"Piña 155g de alta calidad, categoría frutas."
P0054,Cebolla 62g,Verduras,12386.98,203,paquete,"Cebolla 62g de alta calidad, categoría verduras."
P0055,Bollos dulces 12g,Panadería,10915.8,52,paquete,"Bollos dulces 12g de alta calidad, categoría panadería."
P0056,Costilla de cerdo 240g,Carnes,14765.84,254,paquete,"Costilla de cerdo 240g de alta calidad, categoría carnes."
P0057,Crema agria 327g,Lácteos,4084.16,69,litro,"Crema agria 327g de alta calidad, categoría lácteos."
P0058,Limpiador multiusos 186g,Limpieza,15407.78,187,litro,"Limpiador multiusos 186g de alta calidad, categoría limpieza."
P0059,Harina de trigo 467g,Abarrotes,5538.44,10,litro,"Harina de trigo 467g de alta calidad, categoría abarrotes."
P0060,Refresco de limón 85g,Bebidas,19794.1,267,litro,"Refresco de limón 85g de alta calidad, categoría bebidas."
P0061,Mantequilla 206g,Lácteos,15321.2,299,unidad,"Mantequilla 206g de alta calidad, categoría lácteos."
P0062,Leche entera 9g,Lácteos,2387.29,21,paquete,"Leche entera 9g de alta calidad, categoría lácteos."
P0063,Queso fresco 191g,Lácteos,4268.8,191,unidad,"Queso fresco 191g de alta calidad, categoría lácteos."
P0064,Brócoli 60g,Verduras,12568.67,159,paquete,"Brócoli 60g de alta calidad, categoría verduras."
P0065,Toallas húmedas 177g,Cuidado personal,2092.62,223,litro,"Toallas húmedas 177g de alta calidad, categoría cuidado personal."
P0066,Chuleta de cerdo 74g,Carnes,14404.89,88,paquete,"Chuleta de cerdo 74g de alta calidad, categoría carnes."
P0067,Fresa 319g,Frutas,3432.6,158,paquete,"Fresa 319g de alta calidad, categoría frutas."
P0068,Limpiapisos 432g,Limpieza,18876.39,221,unidad,"Limpiapisos 432g de alta calidad, categoría limpieza."
P0069,Enjuague bucal 160g,Cuidado personal,16730.03,33,paquete,"Enjuague bucal 160g de alta calidad, categoría cuidado personal."
P0070,Uva 102g,Frutas,11004.35,71,paquete,"Uva 102g de alta calidad, categoría frutas."
P0071,Papaya 405g,Frutas,16120.65,10,paquete,"Papaya 405g de alta calidad, categoría frutas."
P0072,Leche deslactosada 171g,Lácteos,6278.05,163,litro,"Leche deslactosada 171g de alta calidad, categoría lácteos."
P0073,Fresa 166g,Frutas,7412.89,247,unidad,"Fresa 166g de alta calidad, categoría frutas."
P0074,Piña 221g,Frutas,8406.48,251,unidad,"Piña 221g de alta calidad, categoría frutas."
P0075,Tocino ahumado 147g,Carnes,2096.06,215,paquete,"Tocino ahumado 147g de alta calidad, categoría carnes."
P0076,Agua con gas 381g,Bebidas,14883.34,83,unidad,"Agua con gas 381g de alta calidad, categoría bebidas."
P0077,Pan integral 496g,Panadería,14239.88,13,litro,"Pan integral 496g de alta calidad, categoría panadería."
P0078,Chorizo 64g,Carnes,16049.95,19,unidad,"Chorizo 64g de alta calidad, categoría carnes."
P0079,Azúcar blanca 112g,Abarrotes,18654.2,131,paquete,"Azúcar blanca 112g de alta calidad, categoría abarrotes."
P0080,Salchichas 318g,Carnes,2670.85,151,paquete,"Salchichas 318g de alta calidad, categoría carnes."
P0081,Piña 273g,Frutas,7084.04,253,kg,"Piña 273g de alta calidad, categoría frutas."
P0082,Naranja 297g,Frutas,3598.45,24,kg,"Naranja 297g de alta calidad, categoría frutas."
P0083,Pechuga de pollo 279g,Carnes,12965.03,83,litro,"Pechuga de pollo 279g de alta calidad, categoría carnes."
P0084,Paletas de frutas 250g,Congelado,12085.71,116,litro,"Paletas de frutas 250g de alta calidad, categoría congelado."
P0085,Lomo de res 217g,Carnes,18468.44,191,litro,"Lomo de res 217g de alta calidad, categoría carnes."
P0086,Melón 71g,Frutas,12968.84,179,paquete,"Melón 71g de alta calidad, categoría frutas."
P0087,Helado de chocolate 374g,Congelado,4737.11,114,paquete,"Helado de chocolate 374g de alta calidad, categoría congelado."
P0088,Pan de centeno 30g,Panadería,16850.6,68,kg,"Pan de centeno 30g de alta calidad, categoría panadería."
P0089,Crema corporal 56g,Cuidado personal,12950.73,26,kg,"Crema corporal 56g de alta calidad, categoría cuidado personal."
P0090,Crema agria 365g,Lácteos,16679.42,282,kg,"Crema agria 365g de alta calidad, categoría lácteos."
P0091,Cepillo dental 55g,Cuidado personal,4880.58,271,unidad,"Cepillo dental 55g de alta calidad, categoría cuidado personal."
P0092,Limpiapisos 241g,Limpieza,3061.16,18,unidad,"Limpiapisos 241g de alta calidad, categoría limpieza."
P0093,Naranja 243g,Frutas,12912.15,33,kg,"Naranja 243g de alta calidad, categoría frutas."
P0094,Galletas de avena 268g,Panadería,3990.72,225,paquete,"Galletas de avena 268g de alta calidad, categoría panadería."
P0095,Acondicionador 57g,Cuidado personal,19897.48,296,paquete,"Acondicionador 57g de alta calidad, categoría cuidado personal."
P0096,Helado de vainilla 288g,Congelado,13243.66,54,unidad,"Helado de vainilla 288g de alta calidad, categoría congelado."
P0097,Desodorante 451g,Cuidado personal,11994.96,275,unidad,"Desodorante 451g de alta calidad, categoría cuidado personal."
P0098,Pechuga de pollo 162g,Carnes,12424.38,174,kg,"Pechuga de pollo 162g de alta calidad, categoría carnes."
P0099,Toallas desinfectantes 40g,Limpieza,11565.45,91,unidad,"Toallas desinfectantes 40g de alta calidad, categoría limpieza."
P0100,Donas glaseadas 112g,Panadería,10837.49,122,unidad,"Donas glaseadas 112g de alta calidad, categoría panadería."
P0101,Papas fritas congeladas 249g,Congelado,6915.78,209,kg,"Papas fritas congeladas 249g de alta calidad, categoría congelado."
P0102,Fresa 312g,Frutas,1031.25,10,paquete,"Fresa 312g de alta calidad, categoría frutas."
P0103,Cerveza artesanal 123g,Bebidas,9652.81,243,kg,"Cerveza artesanal 123g de alta calidad, categoría bebidas."
P0104,Helado de chocolate 4g,Congelado,7694.11,30,litro,"Helado de chocolate 4g de alta calidad, categoría congelado."
P0105,Tomate 462g,Verduras,18224.68,293,paquete,"Tomate 462g de alta calidad, categoría verduras."
P0106,Leche deslactosada 235g,Lácteos,4795.1,120,kg,"Leche deslactosada 235g de alta calidad, categoría lácteos."
P0107,Toallas desinfectantes 252g,Limpieza,6747.23,25,paquete,"Toallas desinfectantes 252g de alta calidad, categoría limpieza."
P0108,Pan de centeno 34g,Panadería,3026.54,175,litro,"Pan de centeno 34g de alta calidad, categoría panadería."
P0109,Pepino 141g,Verduras,3261.23,264,litro,"Pepino 141g de alta calidad, categoría verduras."
P0110,Refresco de cola 251g,Bebidas,9275.14,102,kg,"Refresco de cola 251g de alta calidad, categoría bebidas."
P0111,Pan baguette 237g,Panadería,5836.31,167,unidad,"Pan baguette 237g de alta calidad, categoría panadería."
P0112,Pepino 411g,Verduras,13476.46,59,paquete,"Pepino 411g de alta calidad, categoría verduras."
P0113,Empanadas congeladas 198g,Congelado,10476.47,256,paquete,"Empanadas congeladas 198g de alta calidad, categoría congelado."
P0114,Cepillo dental 22g,Cuidado personal,12049.67,98,unidad,"Cepillo dental 22g de alta calidad, categoría cuidado personal."
P0115,Refresco de limón 443g,Bebidas,8184.88,122,litro,"Refresco de limón 443g de alta calidad, categoría bebidas."
P0116,Donas glaseadas 468g,Panadería,8893.09,17,litro,"Donas glaseadas 468g de alta calidad, categoría panadería."
P0117,Donas glaseadas 339g,Panadería,16107.0,128,litro,"Donas glaseadas 339g de alta calidad, categoría panadería."
P0118,Shampoo 68g,Cuidado personal,12398.85,105,kg,"Shampoo 68g de alta calidad, categoría cuidado personal."
P0119,Suavizante de ropa 189g,Limpieza,10115.9,81,litro,"Suavizante de ropa 189g de alta calidad, categoría limpieza."
P0120,Queso fresco 156g,Lácteos,6761.26,117,unidad,"Queso fresco 156g de alta calidad, categoría lácteos."
P0121,Brócoli 28g,Verduras,6483.99,138,litro,"Brócoli 28g de alta calidad, categoría verduras."
P0122,Bebida energética 464g,Bebidas,1922.77,279,unidad,"Bebida energética 464g de alta calidad, categoría bebidas."
P0123,Costilla de cerdo 496g,Carnes,17750.63,163,paquete,"Costilla de cerdo 496g de alta calidad, categoría carnes."
P0124,Pasta dental 92g,Cuidado personal,9972.83,120,kg,"Pasta dental 92g de alta calidad, categoría cuidado personal."
P0125,Papaya 152g,Frutas,19008.53,240,litro,"Papaya 152g de alta calidad, categoría frutas."
P0126,Toallas húmedas 447g,Cuidado personal,12636.94,121,paquete,"Toallas húmedas 447g de alta calidad, categoría cuidado personal."
P0127,Zanahoria 454g,Verduras,7297.63,41,kg,"Zanahoria 454g de alta calidad, categoría verduras."
P0128,Enjuague bucal 357g,Cuidado personal,6405.35,166,kg,"Enjuague bucal 357g de alta calidad, categoría cuidado personal."
P0129,Café frío 489g,Bebidas,2117.28,280,kg,"Café frío 489g de alta calidad, categoría bebidas."
P0130,Refresco de cola 136g,Bebidas,7285.49,298,paquete,"Refresco de cola 136g de alta calidad, categoría bebidas."
P0131,Leche deslactosada 148g,Lácteos,7636.6,120,kg,"Leche deslactosada 148g de alta calidad, categoría lácteos."
P0132,Toallas húmedas 468g,Cuidado personal,1236.66,123,unidad,"Toallas húmedas 468g de alta calidad, categoría cuidado personal."
P0133,Suavizante de ropa 356g,Limpieza,5035.63,109,litro,"Suavizante de ropa 356g de alta calidad, categoría limpieza."
P0134,Leche deslactosada 315g,Lácteos,11605.89,79,unidad,"Leche deslactosada 315g de alta calidad, categoría lácteos."
P0135,Salchichas 113g,Carnes,15073.96,287,litro,"Salchichas 113g de alta calidad, categoría carnes."
P0136,Limpiador multiusos 263g,Limpieza,14834.26,129,paquete,"Limpiador multiusos 263g de alta calidad, categoría limpieza."
P0137,Toallas desinfectantes 39g,Limpieza,2374.79,57,litro,"Toallas desinfectantes 39g de alta calidad, categoría limpieza."
P0138,Agua con gas 470g,Bebidas,1329.61,281,litro,"Agua con gas 470g de alta calidad, categoría bebidas."
P0139,Desinfectante 179g,Limpieza,3210.96,179,unidad,"Desinfectante 179g de alta calidad, categoría limpieza."
P0140,Jabón líquido 473g,Cuidado personal,16506.8,148,paquete,"Jabón líquido 473g de alta calidad, categoría cuidado personal."
P0141,Chorizo 222g,Carnes,12787.82,263,paquete,"Chorizo 222g de alta calidad, categoría carnes."
P0142,Zanahoria 187g,Verduras,1684.66,245,unidad,"Zanahoria 187g de alta calidad, categoría verduras."
P0143,Pasta corta 220g,Abarrotes,11309.86,213,paquete,"Pasta corta 220g de alta calidad, categoría abarrotes."
P0144,Desodorante 304g,Cuidado personal,11974.34,88,paquete,"Desodorante 304g de alta calidad, categoría cuidado personal."
P0145,Jugo de piña 254g,Bebidas,12563.3,38,unidad,"Jugo de piña 254g de alta calidad, categoría bebidas."
P0146,Leche deslactosada 444g,Lácteos,11303.87,205,litro,"Leche deslactosada 444g de alta calidad, categoría lácteos."
P0147,Papas fritas congeladas 459g,Congelado,8655.15,224,kg,"Papas fritas congeladas 459g de alta calidad, categoría congelado."
P0148,Queso mozzarella 396g,Lácteos,11390.03,248,kg,"Queso mozzarella 396g de alta calidad, categoría lácteos."
P0149,Crema agria 208g,Lácteos,10408.37,29,unidad,"Crema agria 208g de alta calidad, categoría lácteos."
P0150,Refresco de cola 344g,Bebidas,10188.92,93,kg,"Refresco de cola 344g de alta calidad, categoría bebidas."
P0151,Papas fritas congeladas 266g,Congelado,8955.06,145,kg,"Papas fritas congeladas 266g de alta calidad, categoría congelado."
P0152,Pan blanco 32g,Panadería,17123.97,19,kg,"Pan blanco 32g de alta calidad, categoría panadería."
P0153,Pechuga de pollo 365g,Carnes,8739.51,187,unidad,"Pechuga de pollo 365g de alta calidad, categoría carnes."
P0154,Harina de trigo 259g,Abarrotes,12571.59,280,paquete,"Harina de trigo 259g de alta calidad, categoría abarrotes."
P0155,Helado de vainilla 461g,Congelado,10144.13,226,kg,"Helado de vainilla 461g de alta calidad, categoría congelado."
P0156,Detergente líquido 81g,Limpieza,1215.78,215,litro,"Detergente líquido 81g de alta calidad, categoría limpieza."
P0157,Costilla de cerdo 468g,Carnes,11786.59,191,litro,"Costilla de cerdo 468g de alta calidad, categoría carnes."
P0158,Nuggets de pollo 416g,Congelado,14823.07,112,unidad,"Nuggets de pollo 416g de alta calidad, categoría congelado."
P0159,Brócoli 487g,Verduras,15459.34,127,unidad,"Brócoli 487g de alta calidad, categoría verduras."
P0160,Queso mozzarella 473g,Lácteos,6195.18,178,unidad,"Queso mozzarella 473g de alta calidad, categoría lácteos."
P0161,Naranja 157g,Frutas,7293.12,181,kg,"Naranja 157g de alta calidad, categoría frutas."
P0162,Té verde 29g,Bebidas,13920.97,38,kg,"Té verde 29g de alta calidad, categoría bebidas."
P0163,Pepino 24g,Verduras,13874.11,97,paquete,"Pepino 24g de alta calidad, categoría verduras."
P0164,Leche deslactosada 418g,Lácteos,12617.15,288,kg,"Leche deslactosada 418g de alta calidad, categoría lácteos."
P0165,Jugo de naranja 370g,Bebidas,16883.44,167,unidad,"Jugo de naranja 370g de alta calidad, categoría bebidas."
P0166,Leche entera 66g,Lácteos,11911.51,114,unidad,"Leche entera 66g de alta calidad, categoría lácteos."
P0167,Azúcar blanca 310g,Abarrotes,8536.0,88,unidad,"Azúcar blanca 310g de alta calidad, categoría abarrotes."
P0168,Carne molida 38g,Carnes,9336.95,31,kg,"Carne molida 38g de alta calidad, categoría carnes."
P0169,Pan de centeno 322g,Panadería,6553.96,19,unidad,"Pan de centeno 322g de alta calidad, categoría panadería."
P0170,Jabón en barra 252g,Limpieza,6987.61,284,paquete,"Jabón en barra 252g de alta calidad, categoría limpieza."
P0171,Mango 318g,Frutas,6905.03,186,paquete,"Mango 318g de alta calidad, categoría frutas."
P0172,Atún en lata 150g,Abarrotes,18528.22,81,litro,"Atún en lata 150g de alta calidad, categoría abarrotes."
P0173,Cloro 133g,Limpieza,18765.03,56,litro,"Cloro 133g de alta calidad, categoría limpieza."
P0174,Tocino ahumado 1g,Carnes,2716.36,180,unidad,"Tocino ahumado 1g de alta calidad, categoría carnes."
P0175,Té verde 37g,Bebidas,12602.3,108,unidad,"Té verde 37g de alta calidad, categoría bebidas."
P0176,Queso mozzarella 4g,Lácteos,4325.99,62,paquete,"Queso mozzarella 4g de alta calidad, categoría lácteos."
P0177,Jabón en barra 465g,Limpieza,12342.82,251,unidad,"Jabón en barra 465g de alta calidad, categoría limpieza."
P0178,Leche condensada 131g,Lácteos,5266.49,158,litro,"Leche condensada 131g de alta calidad, categoría lácteos."
P0179,Desinfectante 100g,Limpieza,2437.14,174,kg,"Desinfectante 100g de alta calidad, categoría limpieza."
P0180,Carne molida 373g,Carnes,9651.73,239,paquete,"Carne molida 373g de alta calidad, categoría carnes."
P0181,Apio 447g,Verduras,19189.54,180,kg,"Apio 447g de alta calidad, categoría verduras."
P0182,Frijoles negros 467g,Abarrotes,15990.74,25,litro,"Frijoles negros 467g de alta calidad, categoría abarrotes."
P0183,Zanahoria 203g,Verduras,8274.33,176,litro,"Zanahoria 203g de alta calidad, categoría verduras."
P0184,Refresco de limón 348g,Bebidas,18483.11,69,kg,"Refresco de limón 348g de alta calidad, categoría bebidas."
P0185,Leche condensada 153g,Lácteos,16655.45,26,unidad,"Leche condensada 153g de alta calidad, categoría lácteos."
P0186,Papaya 40g,Frutas,6787.76,181,paquete,"Papaya 40g de alta calidad, categoría frutas."
P0187,Filete de pescado 105g,Congelado,18001.53,41,kg,"Filete de pescado 105g de alta calidad, categoría congelado."
P0188,Yogur natural 240g,Lácteos,17674.55,100,unidad,"Yogur natural 240g de alta calidad, categoría lácteos."
P0189,Pan de centeno 419g,Panadería,7263.8,78,unidad,"Pan de centeno 419g de alta calidad, categoría panadería."
P0190,Lomo de res 173g,Carnes,1038.91,212,paquete,"Lomo de res 173g de alta calidad, categoría carnes."
P0191,Uva 478g,Frutas,17118.28,148,paquete,"Uva 478g de alta calidad, categoría frutas."
P0192,Paletas de frutas 35g,Congelado,18111.76,163,litro,"Paletas de frutas 35g de alta calidad, categoría congelado."
P0193,Crema corporal 163g,Cuidado personal,17653.35,182,paquete,"Crema corporal 163g de alta calidad, categoría cuidado personal."
P0194,Donas glaseadas 395g,Panadería,8639.63,130,kg,"Donas glaseadas 395g de alta calidad, categoría panadería."
P0195,Desinfectante 141g,Limpieza,11693.69,26,kg,"Desinfectante 141g de alta calidad, categoría limpieza."
P0196,Leche entera 487g,Lácteos,17594.07,202,unidad,"Leche entera 487g de alta calidad, categoría lácteos."
P0197,Espinaca 28g,Verduras,4980.64,285,kg,"Espinaca 28g de alta calidad, categoría verduras."
P0198,Pan de hamburguesa 35g,Panadería,6716.37,180,kg,"Pan de hamburguesa 35g de alta calidad, categoría panadería."
P0199,Azúcar blanca 176g,Abarrotes,3275.96,196,unidad,"Azúcar blanca 176g de alta calidad, categoría abarrotes."
P0200,Leche entera 214g,Lácteos,14250.85,202,paquete,"Leche entera 214g de alta calidad, categoría lácteos."
P0201,Pasta dental 217g,Cuidado personal,1142.33,145,paquete,"Pasta dental 217g de alta calidad, categoría cuidado personal."
P0202,Pepino 312g,Verduras,14053.56,104,paquete,"Pepino 312g de alta calidad, categoría verduras."
P0203,Agua embotellada 494g,Bebidas,8163.81,217,paquete,"Agua embotellada 494g de alta calidad, categoría bebidas."
P0204,Desinfectante 270g,Limpieza,2675.94,269,litro,"Desinfectante 270g de alta calidad, categoría limpieza."
P0205,Café frío 428g,Bebidas,13699.07,128,kg,"Café frío 428g de alta calidad, categoría bebidas."
P0206,Jugo de naranja 169g,Bebidas,9725.75,288,litro,"Jugo de naranja 169g de alta calidad, categoría bebidas."
P0207,Manzana 13g,Frutas,9787.13,33,paquete,"Manzana 13g de alta calidad, categoría frutas."
P0208,Carne molida 322g,Carnes,10324.78,140,paquete,"Carne molida 322g de alta calidad, categoría carnes."
P0209,Aceite vegetal 101g,Abarrotes,2586.03,85,unidad,"Aceite vegetal 101g de alta calidad, categoría abarrotes."
P0210,Agua embotellada 12g,Bebidas,13014.03,124,kg,"Agua embotellada 12g de alta calidad, categoría bebidas."
P0211,Desinfectante 277g,Limpieza,12716.74,146,kg,"Desinfectante 277g de alta calidad, categoría limpieza."
P0212,Desodorante 416g,Cuidado personal,6655.62,168,paquete,"Desodorante 416g de alta calidad, categoría cuidado personal."
P0213,Vinagre blanco 151g,Abarrotes,5989.75,43,kg,"Vinagre blanco 151g de alta calidad, categoría abarrotes."
P0214,Papas fritas congeladas 52g,Congelado,8377.34,119,kg,"Papas fritas congeladas 52g de alta calidad, categoría congelado."
P0215,Salsa de tomate 104g,Abarrotes,15057.29,192,paquete,"Salsa de tomate 104g de alta calidad, categoría abarrotes."
P0216,Azúcar blanca 427g,Abarrotes,17760.91,122,unidad,"Azúcar blanca 427g de alta calidad, categoría abarrotes."
P0217,Aceite vegetal 182g,Abarrotes,4919.33,261,litro,"Aceite vegetal 182g de alta calidad, categoría abarrotes."
P0218,Atún en lata 177g,Abarrotes,4099.83,99,paquete,"Atún en lata 177g de alta calidad, categoría abarrotes."
P0219,Pan baguette 323g,Panadería,4771.09,61,paquete,"Pan baguette 323g de alta calidad, categoría panadería."
P0220,Pasta dental 436g,Cuidado personal,14100.69,213,litro,"Pasta dental 436g de alta calidad, categoría cuidado personal."
P0221,Papas fritas congeladas 85g,Congelado,13089.02,298,unidad,"Papas fritas congeladas 85g de alta calidad, categoría congelado."
P0222,Jabón líquido 83g,Cuidado personal,12097.33,139,litro,"Jabón líquido 83g de alta calidad, categoría cuidado personal."
P0223,Manzana 332g,Frutas,11342.17,296,unidad,"Manzana 332g de alta calidad, categoría frutas."
P0224,Té verde 325g,Bebidas,18021.69,155,paquete,"Té verde 325g de alta calidad, categoría bebidas."
P0225,Enjuague bucal 32g,Cuidado personal,1482.26,35,kg,"Enjuague bucal 32g de alta calidad, categoría cuidado personal."
P0226,Refresco de limón 265g,Bebidas,7551.22,183,paquete,"Refresco de limón 265g de alta calidad, categoría bebidas."
P0227,Muslos de pollo 57g,Carnes,13848.61,212,kg,"Muslos de pollo 57g de alta calidad, categoría carnes."
P0228,Papaya 41g,Frutas,1415.75,288,unidad,"Papaya 41g de alta calidad, categoría frutas."
P0229,Jabón líquido 97g,Cuidado personal,10767.83,224,kg,"Jabón líquido 97g de alta calidad, categoría cuidado personal."
P0230,Jugo de naranja 301g,Bebidas,15064.81,268,unidad,"Jugo de naranja 301g de alta calidad, categoría bebidas."
P0231,Té verde 480g,Bebidas,18029.51,139,kg,"Té verde 480g de alta calidad, categoría bebidas."
P0232,Manzana 193g,Frutas,9887.73,253,paquete,"Manzana 193g de alta calidad, categoría frutas."
P0233,Lechuga 40g,Verduras,9430.48,27,unidad,"Lechuga 40g de alta calidad, categoría verduras."
P0234,Leche deslactosada 32g,Lácteos,5357.17,63,kg,"Leche deslactosada 32g de alta calidad, categoría lácteos."
P0235,Bebida energética 91g,Bebidas,1534.59,73,kg,"Bebida energética 91g de alta calidad, categoría bebidas."
P0236,Queque de chocolate 225g,Panadería,11340.41,87,kg,"Queque de chocolate 225g de alta calidad, categoría panadería."
P0237,Agua embotellada 315g,Bebidas,17173.77,47,unidad,"Agua embotellada 315g de alta calidad, categoría bebidas."
P0238,Jugo de piña 69g,Bebidas,4857.0,193,kg,"Jugo de piña 69g de alta calidad, categoría bebidas."
P0239,Pan integral 242g,Panadería,11942.35,39,litro,"Pan integral 242g de alta calidad, categoría panadería."
P0240,Naranja 117g,Frutas,10135.54,250,paquete,"Naranja 117g de alta calidad, categoría frutas."
P0241,Lechuga 27g,Verduras,6181.33,109,kg,"Lechuga 27g de alta calidad, categoría verduras."
P0242,Pan integral 231g,Panadería,4557.35,77,unidad,"Pan integral 231g de alta calidad, categoría panadería."
P0243,Paletas de frutas 475g,Congelado,12624.72,191,kg,"Paletas de frutas 475g de alta calidad, categoría congelado."
P0244,Suavizante de ropa 388g,Limpieza,14956.18,57,unidad,"Suavizante de ropa 388g de alta calidad, categoría limpieza."
P0245,Bebida energética 287g,Bebidas,14869.63,57,kg,"Bebida energética 287g de alta calidad, categoría bebidas."
